Sl.No,Slide_No,State,District,Slide_Name,Latitude,Longitude,dem_tile,dem_row,dem_column,elevation_m,slope_deg,aspect_deg
18798,MN/KAM/83L05/2018/44,Manipur,Kamjong,6.5 km N of Phungyar Village,24.846167,94.323778,N24E094,554,1166,1320.0,22.9696,88.3586
18799,MN/KAM/83L05/2018/24,Manipur,Kamjong,Khuntak Awang Village Road,24.847417,94.358028,N24E094,549,1289,1489.0,22.0139,263.1013
18800,MN/KAM/83L05/2018/33,Manipur,Kamjong,SE of Khuntak Awang Village,24.847436,94.325861,N24E094,549,1173,1201.0,30.4074,113.1451
18801,MN/KAM/83L05/2018/23,Manipur,Kamjong,Khuntak Awang Village Road,24.847611,94.357889,N24E094,549,1288,1478.0,26.6887,263.5287
18802,MAN/TAM/83H05/2007/C-14,Manipur,Tamenglong,Lamkaolong slide,24.84833,93.45917,N24E093,546,1653,988.0,33.4164,178.8381
18803,MAN/TAM/83H05/2008/C-17,Manipur,Tamenglong,Tamenglong - Khongsang road slide,24.84833,93.45917,N24E093,546,1653,988.0,33.4164,178.8381
18804,MN/KAM/83L05/2018/16,Manipur,Kamjong,0.5 km W of Laushing Village,24.849667,94.365306,N24E094,541,1315,1534.0,24.3998,105.5242
18805,MN/NON/83H05/2018/28,Manipur,Noney,Irang,24.85,93.497583,N24E093,540,1791,257.0,13.316,92.9403
18806,MN/KAM/83L05/2018/22,Manipur,Kamjong,2 km E of Laushing Village,24.851194,94.361722,N24E094,536,1302,1460.0,22.9648,330.3519
18807,MN/TAM/83H05/2018/25,Manipur,Tamenglong,Namkailong,24.851722,93.449389,N24E093,534,1618,1132.0,32.4154,306.804
18808,MN/KAM/83L05/2018/19,Manipur,Kamjong,0.5 km E of Laushing Village,24.851806,94.366083,N24E094,533,1318,1466.0,37.8736,341.2686
18809,MN/KAM/83L05/2018/20,Manipur,Kamjong,0.45 km E of Laushing Village,24.852,94.366303,N24E094,533,1319,1472.0,38.0423,343.1007
18810,MN/KAM/83L05/2018/17,Manipur,Kamjong,Laushing Village,24.852222,94.369333,N24E094,532,1330,1452.0,10.5264,137.7739
18811,MN/TAM/83H05/2018/24,Manipur,Tamenglong,Namkailong,24.85225,93.449639,N24E093,532,1619,1115.0,35.9293,310.7985
18812,MN/KAM/83L05/2018/18,Manipur,Kamjong,Laushing Village,24.853139,94.369875,N24E094,529,1332,1451.0,5.7827,357.4759
18813,MN/TAM/83H01/2018/56,Manipur,Tamenglong,Sejang,24.85325,93.2449,N24E093,528,882,369.0,15.4061,234.0237
18814,MN/NON/83H09/2018/67,Manipur,Noney,data taken from NH-37,24.854044,93.585331,N24E093,525,2107,355.0,24.9467,77.9482
18815,MN/TAM/83H05/2018/23,Manipur,Tamenglong,Namkailong,24.8545,93.449036,N24E093,524,1617,989.0,32.4408,348.6693
18816,MN/NON/83H09/2018/33,Manipur,Noney,NH-37,24.854806,93.573444,N24E093,523,2064,411.0,23.8905,174.8006
18817,Manipur/Noney/83H09/2020/0,Manipur,Noney,Longmai Slide,24.85536111,93.62402778,N24E093,521,2247,379.0,25.8496,120.0783
18819,MN/NON/83H09/2018/32,Manipur,Noney,"NH-37, 310 ABOVE THE ROAD",24.860347,93.572383,N24E093,503,2061,462.0,27.9853,113.8062
18820,MN/NON/83H10/2018/24,Manipur,Noney,Noney town,24.860639,93.62675,N24E093,502,2256,329.0,2.5324,336.2096
18821,MN/TAM/83H05/2018/10,Manipur,Tamenglong,NH-137,24.860889,93.463222,N24E093,501,1668,1276.0,22.3106,270.0
18822,MN/NON/83H10/2018/74,Manipur,Noney,Noney Town,24.861264,93.627742,N24E093,499,2260,386.0,33.6763,197.5313
18824,MN/NON/83H09/2018/31,Manipur,Noney,NH-37,24.862444,93.598194,N24E093,495,2153,423.0,25.4125,113.0684
18825,Manipur/Noney/83H09/2020/0,Manipur,Noney,Khumji Noney Slide,24.86269444,93.62405556,N24E093,494,2247,338.0,11.5961,116.9753
18826,MN/NON/83H09/2018/34,Manipur,Noney,NH-37,24.862778,93.585333,N24E093,494,2107,423.0,32.6385,191.6516
18827,MN/NON/83H10/2018/23,Manipur,Noney,"Below NH-37, Noney town",24.862903,93.616397,N24E093,494,2219,330.0,11.358,147.7972
18828,MN/NON/83H09/2018/42,Manipur,Noney,NH-37,24.863272,93.574044,N24E093,492,2067,523.0,19.0111,115.0146
18829,MN/NON/83H09/2018/30,Manipur,Noney,NH-37,24.863414,93.598719,N24E093,492,2155,411.0,36.2795,115.1209
18830,MN/NON/83H09/2018/29,Manipur,Noney,NH-37,24.86375,93.598917,N24E093,491,2156,401.0,30.4955,110.0951
18831,MN/NON/83H09/2018/56,Manipur,Noney,"Lukhambi, Noney, NH-37",24.864739,93.625244,N24E093,487,2251,367.0,24.5773,161.226
18834,MN/KAM/83L09/2017/25,Manipur,Kamjong,Chattrick,24.867139,94.566889,N24E094,478,2041,1000.0,34.0865,246.3791
18836,MN/UKH/83L01/2018/38,Manipur,Ukhrul,Marou,24.869028,94.234611,N24E094,471,845,1193.0,31.9639,50.5366
18838,MN/KAM/83L09/2017/20,Manipur,Kamjong,Chattrick,24.869917,94.592417,N24E094,468,2133,789.0,20.6308,146.9752
18839,MN/KAM/83L09/2017/23,Manipur,Kamjong,Chattrick,24.870028,94.588778,N24E094,468,2120,823.0,30.6051,155.4964
18840,MN/KAM/83L09/2017/22,Manipur,Kamjong,Chattrick,24.8705,94.589944,N24E094,466,2124,817.0,29.6671,136.4407
18841,MN/KAM/83L09/2017/21,Manipur,Kamjong,Chattrick,24.870806,94.591111,N24E094,465,2128,811.0,24.9197,157.416
18843,MN/UKH/83L01/2018/37,Manipur,Ukhrul,Marou,24.871528,94.234056,N24E094,462,843,1210.0,33.075,150.4528
18847,MN/NON/83H09/2018/57,Manipur,Noney,Data taken from Noney-,24.872153,93.623861,N24E093,460,2246,591.0,28.2286,127.0908
18849,MN/TAM/83H05/2018/11,Manipur,Tamenglong,NH-137,24.874222,93.466667,N24E093,453,1680,1334.0,19.2287,226.7999
18850,MN/UKH/83L01/2018/36,Manipur,Ukhrul,Marou,24.8745,94.235833,N24E094,452,849,1210.0,26.8263,107.7037
18851,MN/TAM/83H05/2018/99,Manipur,Tamenglong,Sangrungpang,24.877417,93.460583,N24E093,441,1658,1389.0,30.8446,150.9516
18852,MN/KAM/83L05/2018/45,Manipur,Kamjong,1 km N of Shakok Village,24.883132,94.31281,N24E094,421,1126,1284.0,8.7806,116.4494
18853,MN/TAM/83H05/2018/9,Manipur,Tamenglong,NH-137,24.883194,93.465667,N24E093,421,1676,1403.0,23.8721,294.8754
18854,MN/KAM/83L09/2017/19,Manipur,Kamjong,Chattrick,24.884389,94.601306,N24E094,416,2165,554.0,29.9351,92.0138
18855,MN/KAM/83L09/2017/15,Manipur,Kamjong,Chattrick,24.884889,94.613222,N24E094,414,2208,768.0,25.4546,245.3802
18856,MN/KAM/83L05/2018/46,Manipur,Kamjong,1.5 km N of Shakok Village,24.8852,94.313301,N24E094,413,1128,1309.0,33.2438,133.2609
18857,MN/KAM/83L09/2017/16,Manipur,Kamjong,Chattrick,24.887722,94.610194,N24E094,404,2197,717.0,22.0514,234.5873
18858,MN/TAM/83H05/2018/8,Manipur,Tamenglong,NH-137,24.888472,93.473028,N24E093,402,1703,1413.0,35.3747,63.9666
18860,MN/NON/83H09/2018/68,Manipur,Noney,Noney to Kabui Khullen road,24.888556,93.641472,N24E093,401,2309,410.0,18.2923,17.2719
18861,MN/KAM/83L05/2018/48,Manipur,Kamjong,N of Shakok Village,24.889031,94.306125,N24E094,399,1102,1217.0,36.0735,0.7018
18862,MN/NON/83H09/2018/62,Manipur,Noney,Data taken from Haochong,24.890167,93.707572,N24E093,395,2547,866.0,8.899,323.2482
18863,MN/TAM/83H05/2018/26,Manipur,Tamenglong,Tabanglong,24.890333,93.466667,N24E093,395,1680,1440.0,18.8722,43.7658
18864,MN/KAM/83L09/2017/17,Manipur,Kamjong,Chattrick,24.8905,94.607056,N24E094,394,2185,675.0,26.4402,251.9859
18865,MN/KAM/83L05/2018/47,Manipur,Kamjong,2 km N of Shakok Village,24.890806,94.319308,N24E094,393,1150,1315.0,32.7202,269.2782
18867,MN/KAM/83L05/2018/49,Manipur,Kamjong,3 km N of Shakok Village,24.894359,94.320541,N24E094,380,1154,1306.0,22.2473,313.0504
18868,MN/KAM/83L05/2018/52,Manipur,Kamjong,4 km N of Shakok Village,24.894944,94.323111,N24E094,378,1163,1340.0,32.1529,337.0224
18871,MN/KAM/83L05/2018/53,Manipur,Kamjong,4.5 km N of Shakok Village,24.897722,94.328472,N24E094,368,1182,1348.0,41.7051,292.1439
18872,MN/TAM/83H05/2018/7,Manipur,Tamenglong,NH-137,24.898,93.487722,N24E093,367,1756,1256.0,26.546,334.049
18873,MN/UKH/83L05/2018/3,Manipur,Ukhrul,2 km South of Phalang Village.,24.898438,94.328686,N24E094,366,1183,1353.0,33.3247,280.2823
18874,MN/KAM/83L05/2018/58,Manipur,Kamjong,0.5 km W of Godah Village,24.901194,94.342444,N24E094,356,1233,1388.0,29.2198,21.0363
18875,MAN/TAM/83H05/2008/C-18,Manipur,Tamenglong,Tamenglong-Khongsang road (near,24.90139,93.45389,N24E093,355,1634,971.0,25.3627,320.2058
18877,MN/KAM/83L05/2018/57,Manipur,Kamjong,0.7 km W of Godah Village,24.901861,94.341944,N24E094,353,1231,1386.0,23.798,54.0345
18878,MN/KAM/83L05/2018/66,Manipur,Kamjong,3 km NW of Kamjong,24.906333,94.482917,N24E094,337,1739,1635.0,15.4102,54.0354
18880,MN/KAM/83L05/2018/54,Manipur,Kamjong,5 km N of Shakok Village,24.908389,94.335056,N24E094,330,1206,1363.0,32.6263,237.4973
18881,MN/KAM/83L05/2018/55,Manipur,Kamjong,5.2 km N of Shakok Village,24.908778,94.333417,N24E094,328,1200,1358.0,31.7011,206.1474
18882,MN/KAM/83L05/2018/51,Manipur,Kamjong,N of Shakok Village,24.909542,94.316778,N24E094,326,1140,986.0,40.7383,160.0062
18883,MN/KAM/83L05/2018/67,Manipur,Kamjong,4.5 km NW of Kamjong,24.909889,94.486778,N24E094,324,1752,1665.0,39.8209,57.7302
18884,MN/KAM/83L05/2018/50,Manipur,Kamjong,N of Shakok Village,24.910619,94.321092,N24E094,322,1156,1052.0,30.7831,176.9945
18886,MN/TAM/83H05/2018/5,Manipur,Tamenglong,Kahulong,24.911722,93.484361,N24E093,318,1744,1191.0,24.1912,359.4309
18888,MN/KAM/83L05/2018/69,Manipur,Kamjong,6 km NW of Kamjong,24.91475,94.464944,N24E094,307,1674,1885.0,29.2596,29.0681
18890,MN/KAM/83L09/2017/41,Manipur,Kamjong,Chahong,24.9155,94.578333,N24E094,304,2082,1128.0,23.3694,238.9951
18892,MN/KAM/83L05/2018/68,Manipur,Kamjong,4.5 km NW of Kamjong,24.916083,94.486889,N24E094,302,1753,1752.0,34.4694,349.8921
18893,MN/TAM/83H05/2018/94,Manipur,Tamenglong,Kahulong,24.916444,93.481556,N24E093,301,1734,1021.0,12.847,44.7805
18894,MN/TAM/83H05/2018/92,Manipur,Tamenglong,Akhui,24.917278,93.471167,N24E093,298,1696,1010.0,23.4886,64.6358
18896,MN/KAM/83L09/2017/44,Manipur,Kamjong,Chahong,24.9179,94.0,N24E094,296,0,842.0,,
18897,MN/KAM/83L05/2018/70,Manipur,Kamjong,8 km NW of Kamjong,24.919751,94.461919,N24E094,289,1663,1939.0,40.3561,23.1949
18899,MN/KAM/83L09/2017/40,Manipur,Kamjong,Chahong,24.920056,94.568778,N24E094,288,2048,1169.0,34.0735,156.2686
18900,MN/KAM/83L09/2017/38,Manipur,Kamjong,Chahong,24.921167,94.563361,N24E094,284,2028,1238.0,33.7775,238.6454
18901,MN/NON/83H09/2018/59,Manipur,Noney,Data taken from Haochong,24.922861,93.633144,N24E093,278,2279,1124.0,34.6203,140.6941
18902,MN/KAM/83L09/2017/37,Manipur,Kamjong,Chahong,24.924528,94.559833,N24E094,272,2015,1268.0,24.7628,158.4307
18903,MN/UKH/83L05/2018/1,Manipur,Ukhrul,1.5 km South of Leiting Village.,24.925194,94.337056,N24E094,269,1213,1493.0,35.2939,161.6266
18904,MN/NON/83H13/2018/001,Manipur,Noney,Kotlen landslide,24.9252,94.3371,N24E094,269,1214,1490.0,34.8607,182.2029
18906,MN/KAN/83H13/2018/10,Manipur,Kangpokpi,Samuk,24.930056,93.797167,N24E093,252,2870,1405.0,12.9805,26.442
18908,MN/TAM/83H05/2018/93,Manipur,Tamenglong,Ramlalong,24.930806,93.444833,N24E093,249,1601,573.0,16.0074,199.0672
18910,MN/UKH/83L01/2018/28,Manipur,Ukhrul,Singta village,24.931167,94.227111,N24E094,248,818,1302.0,36.8338,229.1739
18912,MN/KAM/83L05/2018/21,Manipur,Kamjong,E of Laushing Village,24.932631,94.417417,N24E094,243,1503,1305.0,31.078,212.2174
18913,MN/KAM/83L05/2018/71,Manipur,Kamjong,11 km NW of Kamjong,24.934336,94.460091,N24E094,236,1656,1953.0,29.602,81.8094
18914,MN/UKH/83L01/2018/2,Manipur,Ukhrul,NH 102,24.934833,94.184944,N24E094,235,666,964.0,20.6967,43.2473
18915,MN/NON/83H09/2018/73,Manipur,Noney,Noney to Kabui Khullen road,24.935611,93.654444,N24E093,232,2356,472.0,25.1173,127.8001
18917,MN/KAM/83L09/2017/36,Manipur,Kamjong,Chahong,24.938361,94.549556,N24E094,222,1978,1513.0,37.1423,244.3566
18919,MN/KAM/83L09/2017/35,Manipur,Kamjong,Chahong,24.938806,94.549278,N24E094,220,1977,1526.0,37.9537,224.2737
18920,MN/KAM/83L09/2017/34,Manipur,Kamjong,Chahong,24.939167,94.548889,N24E094,219,1976,1529.0,35.2864,220.9873
18929,MN/TAM/83H05/2018/4,Manipur,Tamenglong,Tamenglong,24.942778,93.495333,N24E093,206,1783,1252.0,21.9137,219.2284
18930,MN/KAM/83L05/2018/72,Manipur,Kamjong,12 km NW of Kamjong,24.943258,94.457787,N24E094,204,1648,1960.0,36.4677,134.059
18932,MN/TAM/83H05/2018/95,Manipur,Tamenglong,Kahulong,24.943833,93.488917,N24E093,202,1760,1043.0,16.5139,293.3192
18937,MN/TAM/83H05/2018/3,Manipur,Tamenglong,Tamenglong,24.94775,93.492889,N24E093,188,1774,1231.0,21.4036,233.9488
18940,MN/KAM/83L09/2017/31,Manipur,Kamjong,Chahong,24.948083,94.535556,N24E094,187,1928,1516.0,37.5649,1.3301
18942,MN/KAM/83L05/2018/78,Manipur,Kamjong,1 km SE of Maku Village,24.948667,94.4835,N24E094,185,1741,1766.0,28.7621,228.4278
18944,MN/KAM/83L05/2018/77,Manipur,Kamjong,0.5 km SE of Maku Village,24.949274,94.473427,N24E094,183,1704,1834.0,29.8283,196.2752
18945,MN/TAM/83H05/2018/96,Manipur,Tamenglong,Kahulong,24.950139,93.481278,N24E093,179,1733,908.0,40.9482,176.461
18946,MN/TAM/83H05/2018/97,Manipur,Tamenglong,Kahulong,24.950278,93.481917,N24E093,179,1735,894.0,35.7642,171.4468
18947,MN/TAM/83H05/2018/98,Manipur,Tamenglong,Kahulong,24.950361,93.482333,N24E093,179,1736,895.0,31.7711,178.7611
18952,MN/TAM/83H05/2018/2,Manipur,Tamenglong,Tamenglong,24.952611,93.487611,N24E093,171,1755,1187.0,27.5973,218.5613
18953,MN/KAM/83L05/2018/79,Manipur,Kamjong,2.5 km SE of Maku Village,24.954887,94.493465,N24E094,162,1776,1578.0,35.8026,117.7548
18956,MN/KAM/83L09/2017/28,Manipur,Kamjong,Chahong,24.956083,94.522278,N24E094,158,1880,1498.0,33.8586,171.5835
18959,MN/KAM/83L05/2018/73,Manipur,Kamjong,0.5 km NE of Maku Village,24.957209,94.473616,N24E094,154,1705,1890.0,23.2758,290.9467
18960,MN/KAM/83L05/2018/74,Manipur,Kamjong,0.5 km NE of Maku Village,24.957303,94.473342,N24E094,154,1704,1877.0,30.159,289.1078
18961,MN/KAM/83L09/2017/26,Manipur,Kamjong,Chahong,24.957333,94.50075,N24E094,154,1803,1498.0,23.9963,159.4538
18963,MN/KAM/83L05/2018/76,Manipur,Kamjong,1 km NE of Maku Village,24.958261,94.473862,N24E094,150,1706,1869.0,28.9547,291.9033
18968,MN/KAM/83L05/2018/75,Manipur,Kamjong,2 km NE of Maku Village,24.969479,94.483082,N24E094,110,1739,1586.0,38.334,123.9086
18969,MN/KAM/83L09/2017/9,Manipur,Kamjong,Chattrick,24.970167,94.618,N24E094,107,2225,1378.0,8.901,216.7696
18970,MN/TAM/83H09/2018/23,Manipur,Tamenglong,"Bhalok village, part-3,",24.971389,93.559056,N24E093,103,2013,732.0,21.088,329.3779
18971,MN/NON/83H09/2018/72,Manipur,Noney,Noney to Kabui Khullen road,24.974128,93.666128,N24E093,93,2398,813.0,34.7315,143.6681
18972,MN/NON/83H09/2018/70,Manipur,Noney,Noney to Kabui Khullen road,24.975175,93.652939,N24E093,89,2351,944.0,31.3386,188.0073
18974,MN/TAM/83H09/2018/24,Manipur,Tamenglong,"Below Bhalok village, part-1,",24.975961,93.567983,N24E093,87,2045,937.0,53.075,327.0766
18975,MN/TAM/83H09/2018/27,Manipur,Tamenglong,"above NH-137,Tamenglong",24.97775,93.502639,N24E093,80,1810,1324.0,12.9283,293.9217
18976,MN/KAM/83L09/2017/10,Manipur,Kamjong,Maokot,24.978139,94.614861,N24E094,79,2213,1478.0,32.9053,256.6198
18977,MN/TAM/83H09/2018/26,Manipur,Tamenglong,NH-37,24.978389,93.502278,N24E093,78,1808,1302.0,16.06,316.971
18978,MN/TAM/83H05/2018/6,Manipur,Tamenglong,Tamenglong,24.978444,93.5,N24E093,78,1800,1247.0,8.5669,312.1913
18981,MN/NON/83H09/2018/69,Manipur,Noney,Noney to Kabui Khullen road,24.981031,93.654678,N24E093,68,2357,1095.0,56.2551,114.9455
18982,MN/TAM/83H09/2018/17,Manipur,Tamenglong,NH-137,24.982611,93.52,N24E093,63,1872,1242.0,26.6324,49.1802
18983,MN/TAM/83H09/2018/16,Manipur,Tamenglong,"16 Hougailong, Ward-4,",24.982694,93.507,N24E093,62,1825,1305.0,22.6415,338.6582
18985,MN/NON/83H9/2018/006,Manipur,Noney,5 Km SSW of Kotlen Landslide (NH37),24.983194,93.500417,N24E093,61,1802,1225.0,12.5977,290.1243
18988,MN/TAM/83H05/2018/1,Manipur,Tamenglong,New Kanan Tamenglong,24.983806,93.497528,N24E093,58,1791,1156.0,13.1926,277.9387
18990,MN/TAM/83H09/2018/19,Manipur,Tamenglong,NH-137,24.984722,93.524917,N24E093,55,1890,1161.0,23.3334,276.4642
18991,MN/TMG/83H01/2018/001,Manipur,Tamenglong,Makru Bridge Landslide,24.985167,93.508306,N24E093,53,1830,1238.0,18.2737,39.4563
18992,MN/TAM/83H05/2018/16,Manipur,Tamenglong,Neigailong Tamenglong,24.985389,93.49275,N24E093,53,1774,1059.0,5.9256,295.3979
18995,MN/KAM/83L09/2017/12,Manipur,Kamjong,Maokot,24.985833,94.60825,N24E094,51,2190,1537.0,23.7181,47.0284
18997,MAN/TAM/83H09/2007/C-2,Manipur,Tamenglong,Tamenglong slide,24.98611,93.50583,N24E093,50,1821,1235.0,20.3964,112.3919
18998,MN/TAM/83H05/2018/14,Manipur,Tamenglong,Neigailong Tamenglong,24.986333,93.494361,N24E093,49,1780,1085.0,16.2206,273.9884
18999,MN/TAM/83H05/2018/13,Manipur,Tamenglong,Neigailong Tamenglong,24.986444,93.494,N24E093,49,1778,1074.0,8.6598,232.3274
19001,MN/TAM/83H09/2018/22,Manipur,Tamenglong,"Below NH-137, New Salem",24.986861,93.506028,N24E093,47,1822,1244.0,21.9795,122.7825
19002,MAN/TAM/83H09/2007/C-3A,Manipur,Tamenglong,New Salem Leikai slide,24.98722,93.50361,N24E093,46,1813,1291.0,6.2944,125.9467
19003,MAN/TAM/83H09/2007/C-3B,Manipur,Tamenglong,New Salem Leikai-2 slide,24.98722,93.50361,N24E093,46,1813,1291.0,6.2944,125.9467
19004,MN/TAM/83H09/2018/20,Manipur,Tamenglong,NH-137,24.987361,93.525333,N24E093,46,1891,1131.0,22.9756,309.7571
19006,MN/TAM/83H09/2018/15,Manipur,Tamenglong,"Below Police Station, New",24.987583,93.506167,N24E093,45,1822,1260.0,23.8454,113.1854
19007,MN/TAM/83H05/2018/12,Manipur,Tamenglong,Tamenglong,24.987667,93.494361,N24E093,44,1780,1110.0,15.528,229.0476
19008,MN/NON/83H09/2018/71,Manipur,Noney,Noney to Kabui Khullen road,24.987986,93.671258,N24E093,43,2417,1176.0,39.6539,167.5568
19009,MN/TAM/83H09/2018/25,Manipur,Tamenglong,"Tamenglong town, 150m NW of",24.989697,93.507075,N24E093,37,1825,1241.0,29.4246,94.1145
19011,MAN/TAM/83H09/2007/C-7A,Manipur,Tamenglong,Capentry area slide,24.99083,93.50583,N24E093,33,1821,1206.0,15.4934,47.8116
19012,MAN/TAM/83H09/2007/C-7B,Manipur,Tamenglong,Capentary area-2 slide,24.99083,93.50583,N24E093,33,1821,1206.0,15.4934,47.8116
19014,MN/KAM/83L09/2017/13,Manipur,Kamjong,Maokot,24.991833,94.603306,N24E094,29,2172,1506.0,16.6018,187.7461
19015,MN/UKL/83L01/2018/008,Manipur,Ukhrul,New Heaven Slide,24.992889,94.230583,N24E094,26,830,972.0,30.5258,251.1813
19016,MAN/TAM/83H05/2007/C-5,Manipur,Tamenglong,Guigailuang-2 slide,24.99306,93.4975,N24E093,25,1791,1196.0,13.4285,296.1485
19022,MAN/TAM/83G12/2017/0054,Manipur,Tamenglong,Dailong road,25.006694,93.523444,N25E093,3576,1884,1036.0,18.8786,220.7633
19023,MAN/UKH/83K08/2015/013,Manipur,Ukhrul,3km S of Gamnum village,25.007917,94.452972,N25E094,3571,1631,1817.0,30.6533,112.0594
19025,MAN/UKH/83K08/2015/014,Manipur,Ukhrul,Nearly 6km from Changa on the,25.012111,94.464833,N25E094,3556,1673,1799.0,36.8654,139.0739
19026,MAN/TAM/83G12/2017/0056,Manipur,Tamenglong,Dailong road,25.013083,93.530111,N25E093,3553,1908,1068.0,30.6484,355.6777
19027,MAN/TAM/83G12/2017/0055,Manipur,Tamenglong,Dailong road,25.013161,93.529758,N25E093,3553,1907,1070.0,28.2318,348.4851
19028,MAN/TAM/83G12/2017/0057,Manipur,Tamenglong,Dailong road,25.013472,93.530472,N25E093,3552,1910,1067.0,18.3937,300.7399
19029,MAN/SEN/83K04/2015/99,Manipur,Senapati,ALONG SAIKUL ROAD,25.016375,94.021711,N25E094,3541,78,815.0,30.2138,98.3917
19032,MAN/UKH/83K08/2015/015,Manipur,Ukhrul,2km E of Gamnum,25.023056,94.449306,N25E094,3517,1618,1915.0,28.6691,114.9532
19033,MAN/UKH/83K08/2015/016,Manipur,Ukhrul,2km E of Gamnum,25.023111,94.449361,N25E094,3517,1618,1915.0,28.6691,114.9532
19034,MAN/TAM/83G12/2017/0058,Manipur,Tamenglong,Dailong road,25.025472,93.537028,N25E093,3508,1933,1146.0,21.8727,295.6888
19035,MAN/TAM/83G12/2017/0059,Manipur,Tamenglong,Dailong road,25.025639,93.537222,N25E093,3508,1934,1159.0,27.0187,294.3733
19036,MAN/UKH/83K08/2015/010,Manipur,Ukhrul,Nearly 6km from Changa on the,25.027333,94.423583,N25E094,3502,1525,1937.0,29.8362,124.3664
19037,MAN/UKH/83K08/2015/005,Manipur,Ukhrul,"Ukhrul- Imphal Highway, Near",25.027528,94.316806,N25E094,3501,1141,1208.0,24.5035,71.8951
19038,MAN/SEN/83K04/2015/98,Manipur,Senapati,ALONG SAIKUL ROAD,25.028456,94.015522,N25E094,3498,56,816.0,11.7136,120.4965
19039,MAN/TAM/83G12/2017/0060,Manipur,Tamenglong,Dailong road,25.029333,93.586167,N25E093,3494,2110,818.0,20.5798,124.8373
19041,MAN/UKH/83K08/2015/012,Manipur,Ukhrul,Shangshak- Gamnum road.,25.033778,94.43625,N25E094,3478,1571,2001.0,30.2319,256.752
19043,MAN/SEN/83K04/2015/100,Manipur,Senapati,Along Saikul road,25.038753,94.152236,N25E094,3460,548,873.0,10.7231,148.7402
19044,MAN/SEN/83K04/2015/102,Manipur,Senapati,Along Tungou raod via Imphal,25.042333,94.241111,N25E094,3448,868,1507.0,29.932,257.8271
19045,MAN/SEN/83K04/2015/101,Manipur,Senapati,Along Tungou raod via Imphal,25.044111,94.233778,N25E094,3441,842,1472.0,24.9066,112.5503
19049,MAN/TAM/83G12/2017/0061,Manipur,Tamenglong,Dailong road,25.049861,93.602389,N25E093,3421,2169,933.0,25.6496,135.7557
19050,MN/UKH/83K12/2017/12,Manipur,Ukhrul,Sahamphung,25.050417,94.551167,N25E094,3418,1984,1792.0,35.148,254.6683
19051,MN/UKH/83K12/2017/10,Manipur,Ukhrul,Sahamphung,25.050694,94.555139,N25E094,3418,1999,1707.0,30.9648,146.0567
19052,MN/UKH/83K12/2017/9,Manipur,Ukhrul,Lanchah,25.05125,94.556111,N25E094,3416,2002,1742.0,40.1909,184.8534
19056,MAN/TAM/83G12/2017/0062,Manipur,Tamenglong,Dailong road,25.054083,93.603694,N25E093,3405,2173,963.0,21.6554,119.9629
19057,MN/UKH/83K12/2017/27,Manipur,Ukhrul,Mapum,25.054722,94.526528,N25E094,3403,1896,1478.0,36.468,304.7123
19058,MN/UKH/83K12/2017/16,Manipur,Ukhrul,Sahamphung,25.054917,94.551306,N25E094,3402,1985,1794.0,34.7794,282.1096
19059,MN/UKH/83K12/2017/26,Manipur,Ukhrul,Mapum,25.054944,94.530528,N25E094,3402,1910,1545.0,27.5543,173.1157
19060,MAN/TAM/83G12/2017/0063,Manipur,Tamenglong,Dailong road,25.055139,93.603778,N25E093,3401,2174,961.0,22.7789,90.0
19061,MN/UKH/83K12/2017/88,Manipur,Ukhrul,Khayang,25.055186,94.599525,N25E094,3401,2158,1538.0,19.6472,209.2098
19062,MN/UKH/83K12/2017/62,Manipur,Ukhrul,Khayang,25.055278,94.567861,N25E094,3401,2044,1691.0,35.3899,195.6883
19064,MN/UKH/83K12/2017/58,Manipur,Ukhrul,Khayang,25.056,94.600667,N25E094,3398,2162,1501.0,28.9576,29.5036
19066,MN/UKH/83K12/2017/25,Manipur,Ukhrul,Mapum,25.057167,94.532194,N25E094,3394,1916,1572.0,39.3159,164.4966
19067,MAN/TAM/83G12/2017/0064,Manipur,Tamenglong,Dailong road,25.057194,93.603028,N25E093,3394,2171,977.0,12.2495,117.7748
19068,MN/UKH/83K12/2017/24,Manipur,Ukhrul,Mapum,25.057361,94.533083,N25E094,3394,1919,1552.0,37.6324,168.9766
19069,MAN/TAM/83G12/2017/0065,Manipur,Tamenglong,Dailong road,25.058833,93.604028,N25E093,3388,2175,973.0,18.8184,128.1351
19071,MAN/TAM/83G12/2017/0066,Manipur,Tamenglong,Dailong road,25.059167,93.604222,N25E093,3387,2175,981.0,23.4387,123.4181
19074,MAN/TAM/83G12/2017/0067,Manipur,Tamenglong,Dailong road,25.059861,93.604639,N25E093,3385,2177,973.0,20.0442,128.4015
19075,MN/UKH/83K12/2017/60,Manipur,Ukhrul,Khayang,25.059861,94.584889,N25E094,3385,2106,1537.0,37.0984,229.6458
19076,MN/UKH/83K12/2017/23,Manipur,Ukhrul,Mapum,25.060389,94.535472,N25E094,3383,1928,1584.0,26.6442,105.917
19077,MAN/TAM/83G12/2017/0068,Manipur,Tamenglong,Dailong road,25.061417,93.604889,N25E093,3379,2178,976.0,22.0535,116.7139
19078,MN/UKH/83K12/2017/21,Manipur,Ukhrul,Sahamphung,25.061472,94.549694,N25E094,3379,1979,1734.0,25.4251,217.6525
