Sl.No,Slide_No,State,District,Slide_Name,Latitude,Longitude,event_date,elevation,slope,aspect,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status
20622,ME/EWK/2026/30,Meghalaya,South West Khasi Hills,Mawpud,25.28247222,91.36413333,2025-05-30,973.0,35.51,24.0605,159.6,263.4,300.8,Open-Meteo historical weather,reanalysis,available,0.489458,0.498458,0.507292,0.509333,0.501135,Open-Meteo ERA5-Land,reanalysis,available
20623,ME/SWK/2026/31,Meghalaya,South West Khasi Hills,Mawpud,25.28090556,91.36584722,2025-05-30,993.0,27.5172,9.3946,154.3,254.6,286.5,Open-Meteo historical weather,reanalysis,available,0.489458,0.498458,0.507292,0.509333,0.501135,Open-Meteo ERA5-Land,reanalysis,available
20624,ME/RIB/2026/32,Meghalaya,Ri-Bhoi,Umbang 1,25.68255833,91.90111389,2024-06-30,960.0,9.5672,279.6758,72.0,119.8,205.7,Open-Meteo historical weather,reanalysis,available,0.481333,0.488042,0.500958,0.517,0.496833,Open-Meteo ERA5-Land,reanalysis,available
20634,ME/EWK/2026/42,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 2,25.69517778,91.64123611,2025-05-30,1302.0,14.9918,333.0764,81.2,149.3,229.9,Open-Meteo historical weather,reanalysis,available,0.479542,0.500292,0.489167,0.518667,0.496917,Open-Meteo ERA5-Land,reanalysis,available
20635,ME/EWK/2026/43,Meghalaya,Eastern-West Khasi Hill,Mairang-Guwahati Road,25.69688611,91.64176667,2025-06-25,1285.0,11.4456,266.5622,25.6,105.6,235.1,Open-Meteo historical weather,reanalysis,available,0.47625,0.491333,0.459583,0.514542,0.485427,Open-Meteo ERA5-Land,reanalysis,available
20636,ME/EWK/2026/44,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 3,25.70087778,91.642902,2024-10-08,1247.0,18.3584,0.0,13.6,29.0,162.0,Open-Meteo historical weather,reanalysis,available,0.491458,0.492333,0.485208,0.515792,0.496198,Open-Meteo ERA5-Land,reanalysis,available
20639,ME/EWK/2026/47,Meghalaya,Eastern-West Khasi Hill,Mairang-Guwahati Road,25.69523333,91.64426944,2025-05-30,1225.0,27.1255,65.7457,81.2,149.3,229.9,Open-Meteo historical weather,reanalysis,available,0.479542,0.500292,0.489167,0.518667,0.496917,Open-Meteo ERA5-Land,reanalysis,available
20640,ME/EWK/2026/48,Meghalaya,Eastern-West Khasi Hill,Mairang-Guwahati Road,25.69463611,91.64577778,2025-05-30,1204.0,25.9778,43.7313,81.2,149.3,229.9,Open-Meteo historical weather,reanalysis,available,0.479542,0.500292,0.489167,0.518667,0.496917,Open-Meteo ERA5-Land,reanalysis,available
20641,ME/EWK/2026/49,Meghalaya,Eastern-West Khasi Hill,Mairang-Guwahati Road,25.68698889,91.64812222,2025-05-28,1171.0,38.4626,54.4948,6.4,40.9,110.2,Open-Meteo historical weather,reanalysis,available,0.479958,0.494708,0.502583,0.514167,0.497854,Open-Meteo ERA5-Land,reanalysis,available
20642,ME/EWK/2026/50,Meghalaya,Eastern-West Khasi Hill,Mairang-Guwahati Road,25.68690556,91.64915278,2025-05-28,1124.0,20.6367,2.0501,6.4,40.9,110.2,Open-Meteo historical weather,reanalysis,available,0.479958,0.494708,0.502583,0.514167,0.497854,Open-Meteo ERA5-Land,reanalysis,available
22177,MIZO/AIZ/84A10/2007/E-3,Mizoram,Aizawl,Bawng Venglai slide,23.751694,92.731528,2007-09-08,946.0,22.4635,200.0106,8.4,66.3,99.4,Open-Meteo historical weather,reanalysis,available,0.423458,0.42575,0.428167,0.425667,0.42576,Open-Meteo ERA5-Land,reanalysis,available
22701,MZ/AZL/84A10/2024/001,Mizoram,Aizawl,"Luangmual, Aizawl",23.73888889,92.69638889,2024-05-28,1044.0,25.2673,319.7374,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22702,MZ/AZL/84A10/2024/002,Mizoram,Aizawl,"Luangmual, Aizawl",23.73947222,92.69666667,2024-05-28,1033.0,24.4358,301.1035,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22703,MZ/AZL/84A10/2024/003,Mizoram,Aizawl,"Luangmual, Aizawl",23.74027778,92.69722222,2024-05-28,1039.0,18.0007,310.3644,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22704,MZ/AZL/84A10/2024/004,Mizoram,Aizawl,"Luangmual, Aizawl",23.74066667,92.69336111,2024-05-28,927.0,13.9128,268.1276,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22705,MZ/AZL/84A10/2024/005,Mizoram,Aizawl,"Mizoram Law College,",23.7385748,92.6941941,2024-05-28,986.0,30.9157,332.2841,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22706,MZ/AZL/84A10/2024/006,Mizoram,Aizawl,"R Romawia (L) Chawlhhmun,",23.74472222,92.69277778,2024-05-28,974.0,23.1393,158.1335,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22707,MZ/AZL/84A10/2024/007,Mizoram,Aizawl,"Luangmual, Aizawl",23.74116667,92.69455556,2024-05-28,948.0,27.7806,307.9201,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22708,MZ/AZL/84A10/2024/008,Mizoram,Aizawl,"Luangmual - Ainawn road,",23.7375,92.69444444,2024-05-28,979.0,29.1353,132.471,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22710,MZ/AZL/84A10/2024/010,Mizoram,Aizawl,"Ainawn Veng, Aizawl",23.72669444,92.69519444,2024-05-28,897.0,30.647,175.7213,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22711,MZ/AZL/84A10/2024/011,Mizoram,Aizawl,"Ainawn, Aizawl.",23.73361111,92.69388889,2024-05-28,900.0,24.2412,233.617,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22712,MZ/AZL/84A10/2024/012,Mizoram,Aizawl,"Zonuam, Aizawl",23.73472222,92.695,2024-05-28,917.0,24.936,104.1059,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22714,MZ/AZL/84A10/2024/014,Mizoram,Aizawl,"Zonuam, Aizawl",23.73305556,92.69944444,2024-05-28,894.0,32.8198,221.1504,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22715,MZ/AZL/84A10/2024/015,Mizoram,Aizawl,"Zonuam, Aizawl",23.74972222,92.69833333,2024-05-28,630.0,22.4938,9.2163,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22716,MZ/AZL/84A10/2024/016,Mizoram,Aizawl,"Chawnpui, Aizawl",23.73111111,92.70222222,2024-05-28,862.0,18.2265,218.1368,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22717,MZ/AZL/84A10/2024/017,Mizoram,Aizawl,"Chawnpui, Aizawl",23.73111111,92.70388889,2024-05-28,873.0,20.0617,175.8348,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22718,MZ/AZL/84A10/2024/018,Mizoram,Aizawl,"Chawnpui, Aizawl",23.73333333,92.70527778,2024-05-28,949.0,11.8151,194.6907,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22720,MZ/AZL/84A10/2024/020,Mizoram,Aizawl,"Zonuam, Aizawl",23.73583333,92.69777778,2024-05-28,993.0,15.334,154.1951,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22721,MZ/AZL/84A10/2024/021,Mizoram,Aizawl,"Kanaan Cemetery, Aizawl",23.73132778,92.70821944,2024-05-28,885.0,13.7226,286.364,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22722,MZ/AZL/84A10/2024/022,Mizoram,Aizawl,"MINECO, Aizawl",23.72428333,92.70737778,2024-05-28,978.0,27.0065,204.057,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22723,MZ/AZL/84A10/2024/023,Mizoram,Aizawl,"Bungkawn, Aizawl",23.72276944,92.70665,2024-05-28,961.0,39.284,342.7099,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22724,MZ/AZL/84A10/2024/024,Mizoram,Aizawl,"Mission Vengthlang, Aizawl",23.71446389,92.71146389,2024-05-28,988.0,29.9599,349.3948,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22725,MZ/AZL/84A10/2024/025,Mizoram,Aizawl,"MSVT to Reiek Road, Aizawl",23.71581111,92.70935,2024-05-28,902.0,24.9661,178.3679,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22726,MZ/AZL/84A10/2024/026,Mizoram,Aizawl,"Bungkawn, Nursery, Aizawl",23.71595,92.70879444,2024-05-28,895.0,30.8293,194.147,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22727,MZ/AZL/84A10/2024/027,Mizoram,Aizawl,"Nursery Veng, Aizawl",23.7175,92.70666667,2024-05-28,900.0,24.279,202.4686,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22728,MZ/AZL/84A10/2024/0028,Mizoram,Aizawl,"Nursery Veng, Aizawl",23.71740833,92.70644167,2024-05-28,896.0,23.9462,194.9979,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22729,MZ/AZL/84A10/2024/029,Mizoram,Aizawl,"Nursery Veng, Aizawl",23.71735556,92.70753333,2024-05-28,900.0,22.3116,203.4874,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22730,MZ/AZL/84A10/2024/030,Mizoram,Aizawl,"Nursery Veng, Aizawl",23.71721667,92.70777778,2024-05-28,906.0,25.53,221.7858,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22731,MZ/AZL/84A10/2024/031,Mizoram,Aizawl,"Nursery Veng, Aizawl",23.71697222,92.70817222,2024-05-28,909.0,26.1155,251.2189,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22732,MZ/AZL/84A10/2024/032,Mizoram,Aizawl,"Mission Vengthlang, Aizawl",23.71305556,92.70895833,2024-05-28,981.0,21.6029,207.2359,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22733,MZ/AZL/84A10/2024/033,Mizoram,Aizawl,"Model Veng, Aizawl",23.71523056,92.71529167,2024-05-28,1012.0,15.5864,199.4367,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22734,MZ/AZL/84A10/2024/034,Mizoram,Aizawl,"Chanmari-Chanmari West,",23.74,92.715,2024-05-28,1065.0,42.0687,314.745,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22735,MZ/AZL/84A10/2024/035,Mizoram,Aizawl,"Chanmari-Chanmari west,",23.73944444,92.71472222,2024-05-28,1073.0,49.6244,295.0414,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22736,MZ/AZL/84A10/2024/036,Mizoram,Aizawl,"Salem Veng, Aizawl",23.71138889,92.72444444,2024-05-28,924.0,26.9756,115.4264,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22737,MZ/AZL/84A10/2024/037,Mizoram,Aizawl,"Mission Veng, Aizawl",23.71638889,92.72111111,2024-05-28,983.0,28.765,21.7399,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22738,MZ/AZL/84A10/2024/038,Mizoram,Aizawl,"Salem Veng, Aizawl",23.71444444,92.72861111,2024-05-28,855.0,17.1407,60.9548,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22741,MZ/AZL/84A10/2024/041,Mizoram,Aizawl,"Salem Veng cemetery, Aizawl",23.71571389,92.72659722,2024-05-28,865.0,25.0056,356.1963,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22742,MZ/AZL/84A10/2024/042,Mizoram,Aizawl,"Venghnuai, Aizawl",23.7104,92.72237778,2024-05-28,963.0,33.2424,163.1434,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22743,MZ/AZL/84A10/2024/043,Mizoram,Aizawl,"Republic Veng, Aizawl",23.71865833,92.72335278,2024-05-28,949.0,25.09,76.5046,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22744,MZ/AZL/84A10/2024/044,Mizoram,Aizawl,"Republic Veng, Lungli Road,",23.7175,92.71972222,2023-09-19,1082.0,29.6546,132.4753,13.6,69.4,88.9,Open-Meteo historical weather,reanalysis,available,0.426417,0.427667,0.426375,0.406542,0.42175,Open-Meteo ERA5-Land,reanalysis,available
22745,MZ/AZL/84A10/2024/045,Mizoram,Aizawl,"Kulikawn cemetery, Aizawl",23.71,92.71611111,2024-05-28,949.0,16.9338,318.103,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22747,MZ/AZL/84A10/2024/047,Mizoram,Aizawl,"Kulikawn, Aizawl",23.70666667,92.71444444,2024-05-28,1029.0,47.6526,1.6159,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22748,MZ/AZL/84A10/2024/048,Mizoram,Aizawl,"Tlangnuam, Aizawl",23.70527778,92.71138889,2024-05-28,1070.0,36.6255,334.6529,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22749,MZ/AZL/84A10/2024/049,Mizoram,Aizawl,"Tlangnuam CP Road, Aizawl",23.70416667,92.71222222,2024-05-28,1040.0,35.4552,171.4334,49.4,126.3,165.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22750,MZ/AZL/84A10/2024/050,Mizoram,Aizawl,"Tlangnuam Vengthar, Aizawl",23.70027778,92.71611111,2024-05-28,1031.0,22.7696,244.898,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22751,MZ/AZL/84A10/2024/051,Mizoram,Aizawl,"Tlangnuam Vengthar, Aizawl",23.69972222,92.71694444,2024-05-28,1002.0,36.1416,172.6988,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22752,MZ/AZL/84A10/2024/052,Mizoram,Aizawl,"Trinity Hospital, Silaimual,",23.68027778,92.72472222,2024-05-28,905.0,31.7289,143.6158,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22753,MZ/AZL/84A10/2024/053,Mizoram,Aizawl,Melthum to Hualngohmun,23.67805556,92.72,2024-05-28,1020.0,51.5636,48.3303,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22754,MZ/AZL/84A10/2024/054,Mizoram,Aizawl,"Paikhai, Melriat, Aizawl",23.64333333,92.73444444,2024-05-28,724.0,13.7961,37.7126,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22755,MZ/AZL/84A10/2024/055,Mizoram,Aizawl,"Melriat, Aizawl",23.64638889,92.72638889,2023-10-02,797.0,27.373,68.4465,2.7,32.0,47.1,Open-Meteo historical weather,reanalysis,available,0.4205,0.422458,0.415958,0.412,0.417729,Open-Meteo ERA5-Land,reanalysis,available
22756,MZ/AZL/84A10/2024/056,Mizoram,Aizawl,"Melriat, Aizawl",23.64638889,92.72527778,2024-05-28,836.0,20.1478,353.0841,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22757,MZ/AZL/84A10/2024/057,Mizoram,Aizawl,Kelsih,23.63111111,92.72388889,2024-05-28,867.0,22.5487,108.7623,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22758,MZ/AZL/84A10/2024/058,Mizoram,Aizawl,"Kelsih, Aizawl",23.63055556,92.72305556,2024-05-28,860.0,24.216,177.1852,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22759,MZ/AZL/84A10/2024/059,Mizoram,Aizawl,"Falkawn, Aizawl",23.62833333,92.72333333,2024-05-28,797.0,20.2777,281.371,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22760,MZ/AZL/84A10/2024/060,Mizoram,Aizawl,"Falkawn, Aizawl",23.62277778,92.72444444,2024-05-28,816.0,7.8818,130.0253,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22761,MZ/AZL/84A10/2024/061,Mizoram,Aizawl,"Falkawn, Aizawl",23.62194444,92.72305556,2024-05-28,814.0,30.9194,0.0,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22762,MZ/AZL/84A10/2024/062,Mizoram,Aizawl,"Falkawn, Aizawl",23.62083333,92.7225,2024-05-28,822.0,19.0505,283.5558,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22763,MZ/AZL/84A10/2024/063,Mizoram,Aizawl,"Falkawn, Aizawl",23.61916667,92.7225,2024-05-28,830.0,34.4811,188.1339,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22764,MZ/AZL/84A10/2024/004,Mizoram,Aizawl,"Falkawn Vengthar, Aizawl",23.62,92.72472222,2024-05-28,819.0,28.5234,30.2573,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22765,MZ/AZL/84A10/2024/065,Mizoram,Aizawl,"Falkawn vengthar, Aizawl",23.61972222,92.72527778,2024-05-28,818.0,24.3616,33.7803,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22766,MZ/AZL/84A10/2024/066,Mizoram,Aizawl,"Falkawn vengthar, Aizawl",23.62027778,92.72555556,2024-05-28,790.0,22.5738,29.9582,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22767,MZ/AZL/84A10/2024/067,Mizoram,Aizawl,"Falkawn vengthar, Aizawl",23.62027778,92.72611111,2024-05-28,771.0,31.6087,39.7008,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22768,MZ/AZL/84A10/2024/068,Mizoram,Aizawl,"Falkawn vengthar, Aizawl",23.62111111,92.72444444,2024-05-28,795.0,17.9917,130.3902,67.8,120.5,158.2,Open-Meteo historical weather,reanalysis,available,0.428083,0.426083,0.3515,0.312,0.379417,Open-Meteo ERA5-Land,reanalysis,available
22769,MZ/AZL/84A10/2024/069,Mizoram,Aizawl,"Melthum, Aizawl",23.68743333,92.72129167,2024-05-28,1098.0,19.559,22.6813,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22770,MZ/AZL/84A10/2024/070,Mizoram,Aizawl,"Hlimen, Aizawl",23.67694444,92.71722222,2024-05-28,1096.0,27.8779,279.6896,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22771,MZ/AZL/84A10/2024/071,Mizoram,Aizawl,"Hlimen, Aizawl",23.67583333,92.715,2024-05-28,997.0,25.326,267.5495,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22772,MZ/AZL/84A10/2024/072,Mizoram,Aizawl,"Hlimen, Aizawl",23.67472222,92.71722222,2024-05-28,1099.0,17.8731,295.2578,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22773,MZ/AZL/84A10/2024/073,Mizoram,Aizawl,"Hlimen, Aizawl",23.67444444,92.71472222,2024-05-28,1000.0,21.2531,268.8076,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22774,MZ/AZL/84A10/2024/074,Mizoram,Aizawl,"Hlimen, Aizawl",23.67388889,92.71472222,2024-05-28,997.0,19.9527,279.6258,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22775,MZ/AZL/84A10/2024/075,Mizoram,Aizawl,"Hlimen, Aizawl",23.672069,92.7099293,2024-05-28,1000.0,18.1742,255.7265,76.9,149.1,183.0,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22776,MZ/AZL/84A10/2024/076,Mizoram,Aizawl,"Hlimen, Aizawl",23.684301,92.715511,2024-05-28,1036.0,18.4865,318.6321,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22777,MZ/AZL/84A10/2024/077,Mizoram,Aizawl,"World Bank Road, Kulikawn",23.70638889,92.72055556,2024-05-28,875.0,35.998,93.8329,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22778,MZ/AZL/84A10/2024/078,Mizoram,Aizawl,"World Bank Road, Aizawl",23.70416667,92.72,2024-05-28,880.0,38.3848,71.5339,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22779,MZ/AZL/84A10/2024/079,Mizoram,Aizawl,"World Bank Road, Aizawl",23.70305556,92.72055556,2024-05-28,879.0,41.3603,15.1327,49.4,108.6,154.4,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22780,MZ/AZL/84A10/2024/080,Mizoram,Aizawl,World Bank Road and,23.69333333,92.72055556,2024-05-28,990.0,28.5329,73.5698,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22782,MZ/AZL/84A10/2024/082,Mizoram,Aizawl,"World Bank Road, Aizawl",23.69,92.72361111,2024-05-28,871.0,30.1726,98.8091,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
22783,MZ/AZL/84A10/2024/083,Mizoram,Aizawl,"World Bank Road, Aizawl",23.68361111,92.72277778,2024-05-28,924.0,32.5233,93.6389,61.9,120.9,163.8,Open-Meteo historical weather,reanalysis,available,0.4275,0.424792,0.341375,0.313,0.376667,Open-Meteo ERA5-Land,reanalysis,available
